KO	base_KO	name	symbol	n_isolates	perc_isolates	module	pathways	Actinomyces__(15)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Neisseria__(8)	Pauljensenia__(9)	Prevotella__(6)	Rothia__(4)	Staphy.+Nialla__(10)	Strep.I__(1)	Strep.II__(2)	Strep.III__(16)	Veillonella__(3)
K15531	K00055	oligosaccharide reducing-end xylanase [EC:3.2.1.156]	rexA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K15897	K00055	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57]	pseG	1	0.794		map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K15898	K00055	pseudaminic acid synthase [EC:2.5.1.97]	pseI, neuB3	1	0.794		map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16188	K00055	tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]	ytpB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16199	K00055	dipeptide transport system substrate-binding protein	dppE	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16201	K00055	dipeptide transport system permease protein	dppC	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16210	K00055	oligogalacturonide transporter	togT, rhiT	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16260	K00055	mxaD protein	mxaD	1	0.794		map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16263	K00055	amino acid efflux transporter	yjeH	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16326	K00055	CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator	yeiL	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16331	K00055	sulfate permease	ylnA, cysP	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16694	K00055	teichuronic acid exporter	tuaB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16697	K00055	teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]	tuaC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16698	K00055	teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]	tuaG	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16699	K00055	teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]	tuaH	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16705	K00055	teichuronic acid biosynthesis protein TuaE	tuaE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16706	K00055	teichuronic acid biosynthesis protein TuaF	tuaF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16838	K00055	urate oxidase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:1.7.3.3 4.1.1.97]	pucL	1	0.794	Purine degradation, xanthine => urea	map00230 Purine metabolism,map00232 Caffeine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17195	K00055	D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]	alsE	1	0.794		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17234	K00055	arabinooligosaccharide transport system substrate-binding protein	araN	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17235	K00055	arabinooligosaccharide transport system permease protein	araP	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17236	K00055	arabinooligosaccharide transport system permease protein	araQ	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17266	K00055	major vault protein	MVP	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17311	K00055	trehalose transport system substrate-binding protein	treS	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17462	K00055	putative AdoMet-dependent methyltransferase [EC:2.1.1.-]	yrrT	1	0.794	Cysteine biosynthesis, methionine => cysteine	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways,map01230 Biosynthesis of amino acids	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17463	K00055	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	dgaF	1	0.794	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00030 Pentose phosphate pathway,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17467	K00055	D-glucosaminate PTS system EIID component	dgaD	1	0.794		map00030 Pentose phosphate pathway,map01120 Microbial metabolism in diverse environments,map02060 Phosphotransferase system (PTS)	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17752	K00055	serine/threonine-protein kinase RsbT [EC:2.7.11.1]	rsbT	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K17762	K00055	rsbT antagonist protein RsbS	rsbS	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18115	K00055	sporulenol synthase [EC:4.2.1.137]	sqhC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18149	K00055	penicillin-binding protein	pbp5, pbp4, pbp3	1	0.794		map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways,map01501 beta-Lactam resistance	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18197	K00055	rhamnogalacturonan endolyase [EC:4.2.2.23]	yesW	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18198	K00055	rhamnogalacturonan exolyase [EC:4.2.2.24]	yesX	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18316	K00055	carbapenam-3-carboxylate synthase [EC:6.3.3.6]	cpmA, carA	1	0.794	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	map00332 Carbapenem biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map02024 Quorum sensing	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18457	K00055	L-proline amide hydrolase [EC:3.5.1.101]	laaA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18476	K00055	TetR/AcrR family transcriptional regulator, tetracycline repressor protein	tetR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18565	K00055	2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-]	thnG, cmmG	1	0.794		map00332 Carbapenem biosynthesis,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18673	K00055	beta-glucoside kinase [EC:2.7.1.85]	bglK	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18907	K00055	GntR family transcriptional regulator, regulator for abcA and norABC	norG	1	0.794	Multidrug resistance, efflux pump AbcA	 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18939	K00055	TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor	lmrA, yxaF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19048	K00055	toxic protein SymE	symE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19062	K00055	rifampin ADP-ribosylating transferase	arr	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19190	K00055	nicotine blue oxidoreductase [EC:1.1.1.328]	nboR	1	0.794		map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19417	K00055	HTH-type transcriptional regulator, biofilm formation regulator	slrR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19426	K00055	pyruvyl transferase EpsI [EC:2.-.-.-]	epsI	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19504	K00055	glucoselysine-6-phosphate deglycase	gfrE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19506	K00055	fructoselysine/glucoselysine PTS system EIIA component [EC:2.7.1.-]	gfrA	1	0.794		map02060 Phosphotransferase system (PTS)	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19507	K00055	fructoselysine/glucoselysine PTS system EIIB component [EC:2.7.1.-]	gfrB	1	0.794		map02060 Phosphotransferase system (PTS)	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19508	K00055	fructoselysine/glucoselysine PTS system EIIC component	gfrC	1	0.794		map02060 Phosphotransferase system (PTS)	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19509	K00055	fructoselysine/glucoselysine PTS system EIID component	gfrD	1	0.794		map02060 Phosphotransferase system (PTS)	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19510	K00055	fructoselysine-6-phosphate deglycase	gfrF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19575	K00055	MerR family transcriptional regulator, activator of bmr gene	bmrR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19997	K00055	GlcNAc-P-P-Und epimerase [EC:5.1.3.26]	gnu	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K20109	K00055	Pro-Pro endopeptidase [EC:3.4.24.89]	zmp1	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K20430	K00055	glycosyltransferase AcbS [EC:2.4.-.-]	acbS	1	0.794	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	map00525 Acarbose and validamycin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K20977	K00055	two-component system, HptB-dependent secretion and biofilm response regulator	hsbR	1	0.794		map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21023	K00055	diguanylate cyclase [EC:2.7.7.65]	mucR	1	0.794		map02025 Biofilm formation - Pseudomonas aeruginosa	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21192	K00055	methyltransferase [EC:2.1.1.-]	mdpB1	1	0.794	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	map01059 Biosynthesis of enediyne antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21288	K00055	rifampin ADP-ribosylating transferase	arr2	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21298	K00055	1,2-beta-oligoglucan phosphorylase [EC:2.4.1.333]	E2.4.1.333	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21457	K00055	phenylpyruvate C(3)-methyltransferase [EC:2.1.1.281]	mppJ	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21459	K00055	cypemycin N-terminal methyltransferase [EC:2.1.1.301]	cypM	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21467	K00055	penicillin-binding protein 3	pbpC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21468	K00055	penicillin-binding protein 4B	pbpI	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21487	K00055	toxin YobL [EC:3.1.-.-]	yobL	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21724	K00055	7-methylxanthine demethylase [EC:1.14.13.128]	ndmC	1	0.794	Caffeine degradation, caffeine => xanthine	map00232 Caffeine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21793	K00055	oxidoreductase	redK	1	0.794	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	map00333 Prodigiosin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21900	K00055	LysR family transcriptional regulator, transcriptional activator of the cysJI operon	cysL	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21960	K00055	LysR family transcriptional regulator, regulator of the ytmI operon	ytlI	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K22396	K00055	xylonate dehydratase [EC:4.2.1.82]	yjhG, yagF	1	0.794		map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K22510	K00055	type III secretion system export apparatus switch protein	spaS	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00059	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	fabG, OAR1	64	50.794	Fatty acid biosynthesis, elongation	map00061 Fatty acid biosynthesis,map00333 Prodigiosin biosynthesis,map00780 Biotin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01212 Fatty acid metabolism,map01240 Biosynthesis of cofactors	-0.727	-0.727	-0.88	1.33	0.852	-0.638	-1.241	-0.829	-1.171	-1.304	-1.36	-0.742	1.791	1.729	1.33	-1.412
K00060	K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	tdh	3	2.381		map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways	0.842	2.615	0.692	0.236	0.692	0.488	0.989	0.346	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K06888	K00060	uncharacterized protein	K06888	3	2.381		 	0.842	2.615	0.692	0.236	0.692	0.488	0.989	0.346	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K00064	K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	E1.1.1.122	1	0.794		map00051 Fructose and mannose metabolism,map00053 Ascorbate and aldarate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K00276	K00064	primary-amine oxidase [EC:1.4.3.21]	AOC3, AOC2, tynA	1	0.794		map00260 Glycine, serine and threonine metabolism,map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00410 beta-Alanine metabolism,map00950 Isoquinoline alkaloid biosynthesis,map00960 Tropane, piperidine and pyridine alkaloid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K00360	K00064	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	nasB	1	0.794	Assimilatory nitrate reduction, nitrate => ammonia	map00910 Nitrogen metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K00803	K00064	alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]	AGPS, agpS	1	0.794		map00565 Ether lipid metabolism,map01100 Metabolic pathways,map04146 Peroxisome	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K01120	K00064	3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]	cpdP	1	0.794		map00230 Purine metabolism,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K01729	K00064	poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	algL	1	0.794		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K02616	K00064	phenylacetic acid degradation operon negative regulatory protein	paaX	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K03333	K00064	cholesterol oxidase [EC:1.1.3.6]	choD	1	0.794		map00984 Steroid degradation,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K03418	K00064	N,N-dimethylformamidase large subunit [EC:3.5.1.56]	dmfA2	1	0.794		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K03435	K00064	LacI family transcriptional regulator, fructose operon transcriptional repressor	fruR1, fruR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K03918	K00064	L-lysine 6-transaminase [EC:2.6.1.36]	lat	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K05281	K00064	2'-hydroxyisoflavone reductase [EC:1.3.1.45]	IFR	1	0.794	Pterocarpan biosynthesis, daidzein => medicarpin	map00943 Isoflavonoid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K05979	K00064	2-phosphosulfolactate phosphatase [EC:3.1.3.71]	comB	1	0.794	Coenzyme M biosynthesis	map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01240 Biosynthesis of cofactors	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K06159	K00064	multidrug/microcin transport system ATP-binding/permease protein	yojI	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K06161	K00064	putative syringomycin transport system ATP-binding/permease protein	syrD	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K06859	K00064	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	pgi1	1	0.794	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010 Glycolysis / Gluconeogenesis,map00030 Pentose phosphate pathway,map00500 Starch and sucrose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K07020	K00064	uncharacterized protein	K07020	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K07178	K00064	RIO kinase 1 [EC:2.7.11.1]	RIOK1	1	0.794		map03008 Ribosome biogenesis in eukaryotes	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K07190	K00064	phosphorylase kinase alpha/beta subunit	PHKA_B	1	0.794		map04020 Calcium signaling pathway,map04910 Insulin signaling pathway,map04922 Glucagon signaling pathway	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K08080	K00064	CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]	CMAH	1	0.794		map00520 Amino sugar and nucleotide sugar metabolism,map01250 Biosynthesis of nucleotide sugars	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K09164	K00064	uncharacterized protein	K09164	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K09251	K00064	putrescine aminotransferase [EC:2.6.1.82]	patA	1	0.794		map00310 Lysine degradation,map00330 Arginine and proline metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K09927	K00064	uncharacterized protein	K09927	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K09932	K00064	uncharacterized protein	K09932	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K10233	K00064	alpha-glucoside transport system permease protein	aglF, ggtC	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K11954	K00064	neutral amino acid transport system substrate-binding protein	natB	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K11955	K00064	neutral amino acid transport system permease protein	natC	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K11956	K00064	neutral amino acid transport system permease protein	natD	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
K11958	K00064	neutral amino acid transport system ATP-binding protein	natE	1	0.794		map02010 ABC transporters	1.217	1.217	1.067	0.611	1.067	0.864	1.742	0.722	0.787	0.663	0.611	0.787	0.21	0.26	0.611	0.564
