COMP_ID,A_d0,A_d0,A_d0,A_d0,A_d2,A_d2,A_d2,A_d2,A_d3,A_d3,A_d3,A_d3,A_d7,A_d7,A_d7,A_d7,A_d14,A_d14,A_d14,A_d14,A_d21,A_d21,A_d21,A_d21,A_d28,A_d28,A_d28,A_d28,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_24h,B_Ctrl_24h,B_Ctrl_24h,B_Ctrl_24h,B_Stim_0h,B_Stim_0h,B_Stim_0h,B_Stim_0h,B_Stim_12h,B_Stim_12h,B_Stim_12h,B_Stim_12h,B_Stim_24h,B_Stim_24h,B_Stim_24h,B_Stim_24h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_24h,C_Ctrl_24h,C_Ctrl_24h,C_Ctrl_24h,C_Stim_0h,C_Stim_0h,C_Stim_0h,C_Stim_0h,C_Stim_12h,C_Stim_12h,C_Stim_12h,C_Stim_12h,C_Stim_24h,C_Stim_24h,C_Stim_24h,C_Stim_24h
21248,21897694,21708532,21928902,21326696,23641442,23658172,23445194,22778526,20329506,22956788,23729292,22991682,22704146,22845768,23237856,21732914,24055586,24118362,24275996,22878130,23792412,23324256,22988892,22832398,23559598,23667724,23915158,22212926,23323184,22981120,23228560,22738542,24302368,24074126,24004256,24004256,24004256,24581330,24506884,25074560,23188318,22836710,23132262,22519168,24382236,24004256,23777592,24615624,23617868,23522620,24618552,25122654,38206412,37352692,38972580,38194124,40770248,40479736,40193912,39272912,41464588,41814996,42193972,39475624,38218512,38541180,38845828,37209584,40794284,42116852,39281616,39761120,41801488,45511320,43918396,41956428
59,266454,266591,273555,263685,232327,267866,236616,257375,225108,236462,257697,250443,236616,230737,235488,234737,240582,248192,238146,226630,222236,231059,227979,218116,248696,228115,242945,228424,246444,238530,245720,243678,267316,265385,265363,271974,268972,262335,277062,259554,230726,267909,286101,255937,244888,234821,244617,234518,247751,236616,232094,241278,224606,229772,231548,231329,230632,243579,230122,230042,225682,221067,228399,238364,225590,232175,213275,210499,246334,248075,232303,236616,231574,236547,229825,230019
3127,,15351,11919,6226,43683,48415,50072,47385,60597,69930,75372,69372,73606,70209,68141,60235,82005,76896,82369,79449,85373,83388,86554,88095,81636,71590,74665,76676,1928,15598,7479,4042,48415,55437,48415,49446,65249,77626,71944,79216,,10800,6668,,57444,57258,55139,56148,69510,69290,74822,77547,3634,19114,10377,4350,6079,22187,19067,9313,13423,28383,20386,15626,2794,16542,9955,5095,8942,25311,15914,11280,16708,29515,26453,19268
1123,,,,,5975,2715,8596,6921,10630,15015,16410,10660,13827,12963,16277,11244,17575,19690,25455,18391,20618,17932,26736,21589,16433,16844,21706,16778,,,,,14306,16701,17278,12510,18562,23989,26854,23168,,,,,17255,20093,21033,16910,24040,24379,30425,28216,,,,,,,2557,,,4252,3061,,,,,,,,4018,,,,3696,
1125,37478548,32832366,36941008,29914566,22216664,30378942,23363940,21962864,20174790,21997954,25048880,20435812,16876730,19972230,17186486,18205008,13529587,17366896,15147794,12477878,13318382,12910702,14053384,9532967,18205008,18205008,18205008,14711097,36465324,33866764,35342044,30029350,28557898,27183144,30370566,25144430,22376764,22587854,25337204,21482406,44917032,35279088,37318680,27602644,29492970,26263164,24750056,19845910,26542610,17912266,18438968,19829334,4602985,4140120,4584125,3610824,2187662,2709742,2915716,1617125,60302,144436,79358,1083349,4070237,4471934,4585293,3166963,1896662,2776107,2643470,1289199,68762,175981,64872,376753
34732,14744,,,26917,33522,27136,34345,45060,29521,34118,34482,40340,41453,38894,40706,43871,38045,31010,36905,46214,31318,27642,28962,28210,41169,36931,30529,28662,4972,,,,33178,30048,28861,32397,38631,31976,44819,55542,,,,13874,29741,24882,25878,35002,35926,34388,45140,42454,,,,,7245,,,6064,6355,9736,7581,15690,,,,,3283,,4335,16586,9169,7596,9838,7771
34407,,,,,,,,,22498,26601,27121,16861,24266,19299,27528,32463,19929,25696,22498,24195,24503,18419,21148,18638,17586,,19425,43336,,,,14880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22498,,,,
15140,30048,,16010,,301122,264530,229090,268660,429756,406726,485929,444661,316306,335235,276097,272822,293579,311007,281846,236192,331761,331597,278461,305148,247294,270741,288035,223660,29474,,,40730,270741,269389,270741,220491,552181,430814,485846,425456,38071,22911,,,1532173,1524483,1073748,1304464,1739607,1843362,1661624,1653319,,,20200,29240,44197,,14704,,19687,12671,17030,,,28636,11008,,21603,29433,13197,,20090,25287,28853,
527,165446288,190997168,129027544,148575376,721404416,589430720,757401344,732551552,689798464,591715904,656078400,806651520,522237088,599077824,650274944,678266880,580248448,539397376,559698368,631825792,537316608,556993152,553192192,602406272,559186496,511619776,528697408,612912256,17404114,8492991,8915477,9239520,322174976,347219168,278084832,328233728,402470112,391776704,378754112,374766848,23630518,6732092,12261786,16011579,324018592,403328224,402178528,275629472,445591488,402178528,497793632,620210880,35968568,23530788,22452832,28741398,257038704,304972320,325329376,402178528,353957440,503660736,502117600,476319104,29329206,25834844,26513384,39006356,402178528,370000768,364664352,360762752,547387456,454377120,549850176,578455232
60,51709936,61397208,58832564,60466856,43157300,49689012,44295188,45116200,38204056,43590484,43273980,45373544,31081236,31363472,31511042,35351248,27495860,32358350,27508048,27293978,21062808,24997418,24270848,22244194,34077192,37529488,35181416,32583656,51310056,65543624,59268204,60626292,54627320,51044928,51310056,51310056,40710744,43205060,41317124,46102860,65802788,61890196,62858556,63405696,46509936,51310056,43547252,49241304,46590736,35627992,36296984,39964840,67395416,68796296,66791192,66854300,56197040,70069064,67201624,64929264,62007768,64320404,61155936,60750416,69834424,73092352,70604768,68139664,68291160,68032456,63311584,63787516,66698968,68372200,61105236,65781324
1301,630904,635990,604307,608294,680317,577419,753570,742633,517230,651622,570128,577046,518271,578841,549827,542153,577046,538020,577046,545402,508282,544504,512561,765454,807936,577046,608354,628611,777101,619939,612951,625692,669182,664005,628081,695144,875777,623655,656979,827698,665698,625685,613236,639310,773170,592224,608463,585242,658458,560365,674956,545107,375970,335499,393479,330567,411349,325373,372435,347292,424128,316256,334881,363691,374364,298762,331008,428860,474569,346780,363245,380031,429396,354896,374124,348183
1303,32717,31373,54578,50654,152174,154832,213079,165821,108840,184375,187675,180757,154158,168447,178375,179164,169183,142084,211629,129116,161338,205047,168220,171888,102594,129452,158542,131556,,,60139,16981,23950,46410,55251,51275,69918,70288,92594,103354,,,51917,18697,92826,80936,95767,121324,97038,129316,116163,145659,2654,,131845,34430,150396,86928,119930,129384,277740,280622,362571,157029,,20257,129384,26772,149929,112006,86470,141672,270354,198024,322806,187001
584,384456,312886,345588,261012,1296702,1103218,1719464,1108357,1727801,3687977,2005975,1616017,1924405,1631780,1771997,1593119,1954679,2286100,2525524,1788762,3118971,3408812,2277871,2778204,1414537,2802234,1672859,1323228,169107,269316,283957,186180,1100029,940458,577606,604546,953054,1015214,977836,977836,,337203,260971,145425,1001939,1427794,895277,1164979,1150577,1682855,1216562,1315568,125668,,235891,197602,618259,437360,678767,574184,747808,735165,1105262,852992,212993,36681,227875,273848,529582,416397,707854,537863,953733,761568,1029336,989745
1302,4674475,4691268,4749663,4822371,4138900,4440920,4132992,4302787,4115217,4183206,4419152,4357622,4292728,4325997,4249312,4370207,4440920,4547497,4503650,4462088,4531193,4075553,4440920,4440920,4783190,4865896,4859360,4871459,4801696,5136816,4596346,4776620,5390859,5490904,5204532,5712218,4783121,5852830,5653559,5654606,5026873,4940768,4984368,5044997,5157689,5373420,4937002,4986273,5869517,4780733,5123881,4858219,2464743,2534504,2487776,2589751,2281720,2354190,2285922,2327294,2066347,1975018,1923322,2390734,2549338,2503425,2611211,2516654,2332698,2144632,2274541,2074626,1787193,2287149,1876577,2163868
18374,51575,34721,57913,45841,50295,45418,46349,47447,41060,42120,52639,57158,43154,43648,39329,49355,50756,40152,51095,47736,52534,53338,56455,44321,48545,47152,41797,47977,42130,47447,47447,51027,66805,59014,67291,54283,51385,65194,59496,54901,50591,43861,48544,60309,47447,56969,58968,45158,49967,66027,55930,57696,28236,49618,41006,33412,38978,43899,47266,34913,37164,39144,39069,36904,39810,57067,45580,30219,32744,48920,43047,42156,44812,47865,43001,36650
19934,12435786,10798130,12768791,12255553,12493702,12142064,14131682,10209748,9763468,12288286,13178769,11802004,12600418,10498015,13809770,11235884,18284190,13417469,15298642,14579397,14088719,14420225,15297545,14829140,15888796,14568801,13507359,14080509,11775274,12041968,12278418,11102893,16474411,14131682,13393539,15314831,14131682,12207071,16222694,14131682,12403271,9904211,11705494,12135185,14874687,14291402,12929494,12932467,13328185,10510975,11708326,11428986,16785982,14570435,22866172,17123530,16484479,17566206,19824806,16142056,13879478,14759822,19576664,15849394,17456398,14719575,19856846,16535932,15324493,17245448,19406358,14449571,14194596,17086116,19700252,16447173
1585,,,,,9630,12232,16108,14162,17019,9857,15496,10486,13348,11650,15139,11096,19870,18221,12304,12570,20054,14773,20680,20221,14362,7581,11375,16857,,,,,9888,13414,9695,5588,14149,16847,11650,17588,,,,,16107,7624,8456,15430,9952,14012,17356,12204,,,,,9681,3401,5547,4684,5426,2647,4257,5788,,,,,2115,6368,,8518,6524,,4203,8006
1589,6449,7286,6341,7258,25110,29516,25263,23661,22813,28895,27573,23556,23738,27909,22395,21032,20960,23519,21881,19745,21575,24423,19730,22213,18775,18775,18775,18775,,,,,14614,16164,10308,12908,17214,24027,21534,28021,,,,,19418,17672,13580,17739,25406,29166,24926,29260,,,,,5093,3868,4044,6638,12911,12750,11860,6018,,,,,6424,5680,3848,6361,14427,12865,12726,7634
33939,20832,18013,17057,17019,30397,27964,28742,25202,29770,34157,35080,36058,37282,39021,33172,30735,38303,40366,38676,41683,43600,38972,43484,43144,34770,32824,36142,34651,19298,18042,15877,16704,39279,32035,31785,38207,44503,40927,47427,47846,17945,19275,17283,15010,35567,34299,33191,31902,40209,40101,42983,43313,24716,23701,29031,23349,29215,31548,26835,30101,31785,31466,32218,31785,27567,26736,28690,25216,32552,30291,27999,27936,31649,31785,31543,31816
2829,,,,,14921,14311,13417,13079,15487,17174,16354,17439,20543,19188,18069,16486,18801,16212,19748,17178,20830,19220,21039,19237,15451,13277,14951,14765,,,,,9569,10340,8869,10289,14609,15220,15916,19546,,,,,11053,10570,10646,13129,15558,15248,14579,17937,,,,,4141,,,,7641,6708,7202,5186,,,,,3863,,,4265,8829,6807,9209,6629
594,1035556,822447,768006,831785,921159,742354,864078,969085,647013,811944,703424,1135653,819170,804631,747697,961149,879023,843683,832948,644555,849784,913595,909670,771028,790091,814289,839227,1211095,940654,747249,834249,925993,988738,775614,804631,998323,633120,919875,831461,1022296,956507,789089,804126,777476,625201,870786,822744,853008,996888,852087,878195,747729,22571,21589,24763,57963,21656,24454,8608,,,,17593,36906,18817,23192,27105,62079,21776,,,16206,39067,37663,,39584
1493,317522,522251,363697,463767,1210656,902831,902831,1168812,852244,2830487,1149009,1621274,1241403,,742898,1336279,1003232,870978,769742,866800,902831,1486161,1019909,853284,730118,58943,508448,902831,313798,980453,288653,453457,713711,1135922,262426,573350,441278,205569,1003238,691807,390398,722730,253028,477975,842118,1414229,614290,623675,649549,1152226,738212,595717,1068008,339739,2466928,1386332,2554678,1283892,2219141,2570595,5338624,102218,4049587,3372708,1568212,,1180577,1434274,2450781,2065030,2222719,2913484,4514375,148816,4739263,4717875
36103,5407,6059,5596,6822,6315,7484,6521,6180,4293,6532,6992,6953,7293,9459,5596,5937,8561,7844,7493,4901,6111,5758,5470,7076,6006,9512,6614,5932,,,,,,5523,,,,3089,,,,,,,,4588,,,3476,4913,4668,,,,,4395,,,,,,,,,,,2793,,,,11919,,,,,
1508,790617,768972,762991,777074,796179,832733,814260,832792,776439,819730,837794,859681,834436,795190,796179,805088,909923,831237,847889,829760,944563,853178,803691,830633,788449,864648,837169,796179,842004,779852,779418,767276,1009717,885623,885851,871714,854965,908272,860593,874156,817342,796179,757720,796125,809296,899354,811453,933871,969867,869865,836384,892180,83227,90675,97607,115501,117516,98541,93040,93064,93094,96387,96947,100625,95664,88166,92380,86754,113801,94427,107133,103215,100353,105218,88075,98685
36817,2658979,2650513,2650550,2664327,2858181,2986259,2790678,2778337,2345228,2679466,2854060,2703799,2752201,2723805,2763190,2724303,2894356,2876436,2868436,2706542,2830673,2774099,2788970,2737211,2786292,2811584,2767196,2679466,2679466,2726140,2629571,2600439,2756100,2765430,2692860,2763894,2739755,2842576,2786300,3124781,2649137,2599667,2679466,2621922,2788507,2779279,2631198,2782724,2777439,2628839,2724447,2867026,387030,394814,406055,401525,399094,406640,388263,397451,389755,394720,392681,383880,390708,390683,401441,387209,404998,399234,378194,379001,384616,425017,399592,421737
32553,,,5348,11567,20215,20381,12304,18928,15722,15652,19143,20128,20161,21828,24826,22732,26359,27451,25357,19570,27783,20605,27558,24984,19244,22929,21562,20834,,,,5711,11076,12723,16969,19143,21960,24305,22283,30125,5219,,9581,4843,19143,17905,13469,13811,20654,30251,27125,31018,6758,6080,,8046,2878,9989,,,,7312,7679,7501,,,,,4100,,,,6173,4132,,
64,29988166,24797596,25419838,25137350,23283516,24845260,27248138,25534466,28287162,25474346,23574300,28402562,27567066,24230232,23504180,24070298,23089054,26895382,26052788,25474346,23353664,26255430,25474346,26087754,25973574,30058488,26232316,25474136,27849352,27054014,25914752,27394538,27326632,29061350,28723614,30760458,31266400,33364422,33986708,32885070,26075652,25726662,25552278,27417010,25474346,29815900,26717900,29792066,28319760,26549406,26435870,32023682,8121354,8256295,8745605,8707340,7017466,8733098,8495169,7286777,5878668,6943435,6013820,7402470,9358780,9690945,10187128,9340272,7603197,7918196,8271936,7161241,5562707,7522964,6491243,7552712
11438,67307376,50379608,76190952,57870844,76202376,101676728,97948144,79650584,83719664,120378472,110389920,88507536,67929488,59102188,77374200,76534208,67755320,69999944,83719664,65585796,73759216,76311208,69738336,87023648,66348920,50135056,71241640,59589804,79234600,61903636,83763088,74604896,85343384,88843960,79638728,74865888,76601352,59237644,82470168,86101736,77180360,63991044,81750544,69068496,84216120,83719664,78672600,83719664,84571400,75421088,79895552,74264672,238469920,237583056,427456640,316864032,263596592,254518640,404424128,299376160,261912112,259237616,403067200,321969664,244603584,217171616,421198496,331984256,254364096,275617184,405002176,289778592,248201728,280090784,377621440,340063904
1898,4867398,4434496,4509611,4119342,7568873,6254044,6022883,6613383,6044626,7062102,6401897,7574486,7063052,6603872,6002076,5495953,7955686,6116167,7096492,7274730,8774007,7809390,7430109,8219487,6558674,7430109,8142337,7183071,4959853,4448624,4717603,4704821,8263070,7769311,7298326,6527528,7302798,8036772,7759401,7430109,6144090,4524015,4223491,5751835,6453187,5975901,6063119,5283396,7430109,6927973,8799960,8384595,7256311,7734929,8668824,9173423,10726400,8791877,9879717,9061156,7800915,8949893,10438864,9316559,9595890,9198481,9153929,7748607,9092142,9735841,8547524,10114077,8633395,9621423,9572234,8488591
33442,,,,,28994,30581,30930,31159,34806,37277,54153,35846,23934,48258,30806,21959,31009,38387,50784,38007,35876,64686,37928,44766,29905,36073,37378,31752,,,,,18966,23310,24733,20163,31393,42549,35155,28651,,,,,22031,26638,27755,20491,31392,29905,29905,32226,,,,,,24761,18716,,,21793,22970,11750,,21390,8325,,18183,17422,21097,,,18574,21642,12873
1651,26711,26249,23224,,209285,202453,210754,174979,188544,249208,243396,237422,239315,265864,235135,226851,221426,286577,274662,198562,309782,329124,290328,281098,232200,319363,278809,209056,,23156,76517,,135892,185150,182430,116850,194517,313347,257640,194517,,20014,21469,,229177,194517,206605,188706,217337,278108,253967,230511,,14338,24694,,38195,43876,15649,18085,36271,29963,54976,21929,36040,18402,,37611,,,13972,,17339,,27799,
31555,,,,,5312,5896,,,,4838,,,5751,5698,6795,7884,8316,7511,8230,7559,17306,14679,16621,18670,12669,11143,8228,7464,,,,,4680,,,3559,8221,12169,4347,6182,,,,,7448,2685,,2940,7511,8662,4173,8878,,,,,,,,,,,,,,,,,,,,,,,,
608,1540228,1383068,1244949,1534250,1307241,1151228,1242980,1369790,1156185,1158101,1192667,1275337,1063584,1255494,1146636,1095496,1091106,1068810,1100242,1063418,1078680,821852,929458,847907,961086,1100799,968383,926935,1739794,1471017,1349179,1475512,1497416,1327049,1238137,1171063,1093597,1091106,1091106,1140379,1604104,1541972,1587447,1528546,1400290,1357384,1094059,1382347,1205516,1047147,1002489,1091106,106813,117701,138761,138416,69313,122066,100327,97957,56971,118422,116419,52038,92722,129932,137739,87648,104694,117529,105198,139797,39035,111426,85788,84192
599,818941,433590,1253241,654028,105610,222110,264357,205590,134568,247637,319499,221214,71595,134805,145830,110961,49755,105898,109871,151400,71511,101272,161804,170043,122518,123437,131780,99932,1009857,601296,1495695,877784,319499,272311,319436,319499,155571,119421,181061,115375,1004038,537411,1385392,1052645,229571,319499,243730,248365,177455,156979,104623,178010,1530987,1466119,2525779,2141274,1657251,1431113,2018235,1287672,1318461,1263718,1444839,1530230,1497398,1396331,2123027,1979640,1393197,1158031,1842085,1230152,1046265,1518569,1756728,1502460
1827,95596,88052,90805,91511,100423,110353,120607,109616,97830,108320,112429,116126,102599,96587,118821,106456,104669,110550,95902,107979,106827,111898,96334,91611,111945,106922,104501,104490,75366,77930,77442,82676,89477,94162,107161,88052,81401,91881,85991,95296,86627,85718,80919,87237,84336,93752,88052,102185,96622,70127,93074,84736,14834,20614,16298,23258,18368,16896,10748,29424,33791,43459,33517,36015,,13835,11433,17542,24711,12724,29480,35311,45073,23462,40226,24183
1648,14830794,17279514,18038274,23645244,46122804,48779440,58758236,49118436,47630480,70614024,55563496,53330792,56000052,2002642,45734740,42171724,47457884,39725712,48779440,40953648,43904008,49215352,43845124,48779440,41999268,930337,33450798,34876980,20895904,23828324,14785160,16284984,50505360,40489124,10918000,29581042,51199436,15127199,51358796,42741764,24184444,21716328,17028130,18407802,43701832,56802896,35015216,42351864,48779440,54730408,43909568,50315648,119986584,73409224,146576624,149555696,157816032,131866864,143618112,143785440,157594400,84657784,151669536,159810000,131899712,6428971,146348992,150457600,150808432,129261016,144635184,131410216,145843392,111136144,155373952,174611520
15053,,46872,65447,,48967,89220,68049,57880,54315,110794,87672,135631,99931,137319,184213,117190,154515,261734,194428,157295,148657,205508,249276,254679,107499,209665,66245,134174,,,,22801,,,,,,55728,68667,67147,,,,,79979,57332,42766,55928,,67147,57035,108532,13609,,14236,,,18930,,39241,,20656,37367,32843,,,,,16890,,,,28748,16322,,30809
5341,26732,56742,59341,60359,232990,102491,92106,181871,251805,92534,108179,223623,155149,94543,85479,179879,107642,81349,98226,84762,103515,91797,77393,115733,82883,74120,82124,97689,48477,51646,62294,33613,54794,69457,76029,49460,54516,72902,65788,61173,45479,50405,52748,40666,50235,62294,61803,60731,81278,70345,75486,77904,62294,15970,14985,59561,58384,15650,17082,52216,60045,13145,18325,64634,54047,18550,16992,62294,63848,21711,17712,55437,65605,19209,14437,65344
27738,314548,212712,233131,301322,232745,279598,340196,269887,171692,320878,303143,221544,166489,216722,298947,274962,241182,240767,282282,346195,303143,303143,275682,306464,321381,290120,286351,299008,314269,301351,309347,208627,263889,313889,294579,343787,259693,238973,337448,293227,243954,242651,300376,303143,195536,308963,267466,300277,278458,298764,271937,266861,426339,457924,671063,622380,539111,541167,583669,501210,571841,471105,710558,624484,497231,462764,605850,593526,543177,552207,658396,480823,517127,606912,592999,622577
1284,746888,754616,734296,728272,748933,693926,693926,709331,638941,712901,725877,726945,637904,709730,649268,618151,714331,675067,690256,659388,658439,670743,677953,643242,725421,698611,783499,693926,716901,794581,766966,747268,833662,809102,857292,753578,809253,804166,770499,798624,722777,763399,735898,757050,693926,764462,711537,733938,737972,684910,757417,712739,341996,331759,326000,378325,332468,299567,304293,334723,288050,273921,273917,346700,374061,326569,340705,336991,352506,309078,305501,350479,315365,313615,245405,315569
39539,53685,50321,62649,111637,4436,5950,7481,12088,3169,2762,4412,10396,5137,4490,7054,8158,3835,4754,4353,5932,5030,2947,4862,7710,5281,5870,7408,15591,57553,69892,77956,122549,22701,19630,30376,42144,12728,11855,15379,19630,58716,63672,85979,122379,19630,21864,19630,31696,7067,7774,9550,15122,96345,96207,125189,209382,24105,30961,29473,34468,,,,15987,94989,88230,121491,206403,23757,27788,29489,31300,,,,9689
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11262,52306,13807,200466,205300,195655,199286,268681,227056,289970,300029,,,16436,23783,210133,153870,214944,211314,189744,208862,246051,257703
54,9168202,8547882,8136218,8691388,7157702,7665219,7579634,7693330,7150314,7157702,7887637,8038072,7344869,7090992,7157702,7157702,8185916,7661917,8046737,7063882,7641764,7787529,7066620,7613174,8738423,7553517,8080035,7891862,8536642,8046035,8959249,8226930,10599250,10088483,10141312,9270180,9286048,9122224,10455692,9827144,8452377,8084455,9198498,8500653,7129367,6668835,6823784,6369718,4626350,3496086,4197984,4185562,5384947,5359100,5625266,5298170,5532327,4808187,5019434,4602822,4702404,4463132,4559204,4723432,4953600,5197408,6026357,4997931,4959606,4716963,5443679,4860359,4559370,5086649,4352641,4937476
1299,10240053,11357369,10029005,10576787,10576787,10424941,10534456,10705472,9741453,10447481,11657316,10412813,10242208,10622775,10098150,10678284,11286532,10688464,10576787,10927379,11305997,10576787,10794588,10437460,11723833,11541381,12131226,11103010,11695806,10426051,10804256,10470395,12583657,12465421,13099276,12340592,12262502,13197756,13470645,12120687,10916776,11226879,11026088,11301961,12899353,11245791,11519302,11403902,12005958,11608645,10737567,11871231,2010999,1750296,2070133,2018874,1561396,1617363,1546865,1211530,849420,825347,843320,1238653,1983643,1928763,2062853,1977362,1539043,1597890,1631330,1210732,809727,976946,818725,923118
1604,29139,33474,19907,33786,,,90847,50593,,32307,104882,34379,,,65753,22810,36204,,51157,47109,20006,34379,66060,110999,35945,,101867,68107,34292,11873,,,,84501,12999,,45448,,22989,19639,34379,,,1693,17920,79175,17887,39502,61704,171976,125951,151035,,,,,,,8661,,,,17147,,,,,1148,,,20498,,,,34379,3506
606,26771,28247,28247,28247,31119,32927,39695,31311,57961,97495,68189,53025,27061,27448,27188,21882,28247,32783,28660,24720,29190,44913,38095,35566,39726,26840,43334,28595,,,,,263297,314097,273285,269525,326589,369418,325350,352785,,3120,,,101572,72273,23894,48113,33215,44320,72327,40727,1871,,2883,4213,10436,22005,24617,11907,12010,16124,16966,22281,2972,2312,3928,2730,11838,16645,20028,13440,18058,17211,17178,16117
1649,13363052,14342070,14954073,13553974,14902529,14059973,12900794,13531466,12725863,14210669,14211860,14902529,12246590,12303853,11641458,11922339,10398069,12672385,13198820,9852340,9799746,11405948,11386888,10851737,12026249,12825082,12482913,12310571,13273453,16404562,15492486,14705521,17011670,15435540,14902529,15343754,13909606,14902529,14859688,14099633,15352983,15576978,16940164,16293738,15111002,14795706,14141375,18072714,13509403,11915896,13704758,14455752,29179546,32227016,32662572,40120768,26157410,34016960,33636304,36956072,31851464,33300472,30525928,40462824,34977292,32558238,33355926,35468404,28862354,34026412,32804690,34352412,25581740,32349916,30159590,37407524
3147,31144,41444,46523,25797,64872,89701,92840,80778,92373,106003,102079,100870,97452,113198,126374,98831,127697,125134,149093,127056,140904,141964,144286,133036,130835,122266,128648,121219,,13929,12974,11366,104994,105202,97452,102810,133632,134823,155539,140549,7790,12623,12172,7584,105068,89637,107524,96073,131384,127794,144085,132491,,,2681,,3069,,3697,,,3563,,2977,4425,8364,9480,,2905,9233,,4402,,,3249,3302
15136,,,,,23204,27626,25622,38607,31892,28218,44131,29672,33862,32640,30118,30685,34095,42007,52797,30634,45813,42463,49305,48011,26973,38971,31150,24374,,,,,,21114,14204,,17705,28628,24232,25076,,,,,,23514,27360,16681,29376,42622,48093,31174,,,,,,,,,,,,,,,,,,,,,,,,
4966,,,,,31137,35707,31345,43743,,35640,31983,92439,140993,55376,65189,30953,104876,68358,63790,54477,,61469,42906,77892,83343,27050,24805,24130,18176,,,,26844,20473,,9746,31553,9811,11440,14242,,7704,6437,16680,23783,,,,,22671,13860,31736,,,,,,,,,,,,,,,,,,,,,,,,
35638,52341,54745,52993,46744,62229,64223,101913,80483,77039,70953,78654,72257,75683,51878,73383,60603,69592,91860,102692,89796,69904,79406,46419,81277,81628,58931,67519,39604,,12813,10209,25392,40496,17954,39430,,13727,31849,28112,27617,,,17699,,,31881,34271,11915,16238,23385,,,17756,35859,56485,36654,28398,48480,,46419,32950,33457,20706,37553,32860,46110,27465,50449,75371,46728,41859,32848,36040,45492,55874,
